Source,Lake,nList,nStudy,Latitude,Longitude,Elevation,dD_OIPC_JJA,dD_OIPC_ANN,ANN_CI,OIPC_Year,dD_Lake,Err_Lake,dD_C21,Err_C21,dD_C23,Err_C23,dD_C25,Err_C25,dD_C27,Err_C27,dD_C29,Err_C29,dD_C31,Err_C31,dD_C33,Err_C33
McFarlin et al 2019,STR,1,1,76.67,-67.94,224,-140,-181,1,2018,-168,,-331.6,4.3,-286.5,21.6,-251,12.7,-248.5,6.7,-247.5,6,-218,7.4,,
McFarlin et al 2019,WLL,2,2,76.85,-66.96,517,-144,-187,2,2018,-153,,-279.6,5.6,-272.2,6.1,-272.7,5.3,-273.9,5.1,-264.1,7.1,-203.5,20.8,,
McFarlin et al 2019,NS1,3,3,76.82,-67.05,455,-143,-186,2,2018,-174,,-243,3.8,-262.6,3.9,-230.3,4.5,-244.7,3.7,-234.7,3.8,-236.6,3.8,-211.9,4.4
McFarlin et al 2019,SEC,4,4,76.58,-68.66,248,-140,-181,1,2018,-143,,-280.1,3.7,-273,4.1,-257.8,4,-253.9,3.7,-246.3,3.6,-234.2,3.7,-171.3,3.9
McFarlin et al 2019,USHL ,5,5,67.15,-50.13,340,-122,-147,11,2018,-222,,-258.9,4.9,-252.1,4.1,-237.5,4.5,-246.8,3.7,-256.7,4.1,-252.2,3.8,-234.6,4.3
McFarlin et al 2019,SHL,6,6,67.15,-50.13,335,-122,-146,11,2018,-222,1,-250.3,4.2,-250.7,3.6,-251.2,3.6,-239.4,5,-250.7,3.6,-250,3.9,-230.3,6.2
McFarlin et al 2019,RTL1,7,7,67.15,-50.08,443,-123,-148,11,2018,-118,,-259.5,9.9,-224.9,4.6,-224.7,3.6,-229.7,3.7,-239.5,3.7,-246.4,3.7,-229.7,3.9
McFarlin et al 2019,RTL2,8,8,67.14,-50.08,449,-123,-148,11,2018,-103,4,-245.7,17.6,-229.9,5.1,-232.8,3.9,-231.7,16.4,-224.3,6.1,-241.5,7,-257.4,4.4
McFarlin et al 2019,RTL3,9,9,67.06,-50.45,170,-118,-140,13,2018,-97,,-189.9,6,-214.2,3.7,-226.4,3.6,-226,3.6,-232.4,6.4,-214,3.8,,
McFarlin et al 2019,RTL4,10,10,67.01,-50.67,112,-116,-137,13,2018,-114,,-270.1,3.6,-261.8,3.6,-252.9,4.2,-255.5,4,-254.9,3.8,-241.2,3.6,-185.2,9.7
McFarlin et al 2019,RTL5,11,11,66.98,-50.92,65,-113,-135,14,2018,-91,10,-241.3,3.7,-241.3,3.6,-233.9,3.7,-249.7,4.2,-250.6,3.7,-244,4,-207.1,4.1
McFarlin et al 2019,LSL,12,12,67.05,-50.52,124,-116,-139,13,2018,-89,10,,,-232.8,5.4,-222.5,10.1,-235.7,4.2,-236.6,5.5,-223.5,4.2,,
McFarlin et al 2019,LHN,13,13,66.98,-50.93,122,-113,-136,14,2018,-93,3,,,,,,,,,,,,,,
McFarlin et al 2019,T1,14,14,63.76,-51.36,75,-93,-107,7,2018,-97,,-193.7,4.6,-209.5,3.6,-211.5,4.8,-200.6,5.2,-203.4,3.8,-204.1,3.6,-192.2,4.4
McFarlin et al 2019,T2,15,15,63.76,-51.37,57,-93,-106,7,2018,-97,,-222.9,4.8,-230.5,4.5,-218.1,3.8,-215.2,4.5,-218.3,3.8,-218.3,4,-209.8,5.1
McFarlin et al 2019,T3,16,16,63.75,-51.35,30,-93,-106,7,2018,-115,,,,-191,4.6,-200.6,3.7,-206.7,4.6,-215.5,3.9,-213.3,3.9,-179.8,4
McFarlin et al 2019,PLK,17,17,63.8,-51.19,76,-93,-107,7,2018,-116,,-159.7,3.9,-188.5,3.6,-191.9,6.2,-194.8,3.7,-206.1,3.6,-211.1,4,-171.6,3.6
McFarlin et al 2019,PIN,18,18,60.7,-45.1,480,-85,-96,2,2018,-98,,-170.7,4.4,-190.7,5,-190.1,5,-201.4,4.4,-215.7,5.5,-215.1,4.5,-196.4,14.6
McFarlin et al 2019,SCP,19,19,60.7,-45.42,475,-85,-96,2,2018,-100,,-210.4,3.8,-199.1,6,-204.6,3.8,-202.3,3.6,-210.7,3.9,-212.2,3.6,-200.9,6.2
McFarlin et al 2019,NAR,20,20,60.87,-45.72,766,-88,-101,3,2018,-100,,-183.9,4.6,-205.4,6.7,-215.3,7.6,-210.6,4.8,-209.8,4.2,-208.7,4.6,-180,12.4
McFarlin et al 2019,LNR,21,21,60.87,-45.72,751,-88,-101,3,2018,-100,,-214.9,4.3,-214.2,5.6,-201.6,4.7,-197.4,8.1,-202.8,5.8,-206.4,4.1,-177.5,5.9
McFarlin et al 2019,TUP,22,22,60.38,-44.3,145,-85,-89,2,2018,-121,,,,-183.9,4.6,-181.2,10.9,-191.7,3.9,-215,3.8,-210.7,3.7,-183.8,3.9
Sachse et al 2004,NAI,23,1,68.85,21.18,463,-80,-115,2,2018,-94.9,0.6,,,,,,,-209,6,-221,2,,,,
Sachse et al 2004,KEI,24,2,68.67,21.52,428,-79.3,-114,2,2018,-96.6,0.6,-245,4,-234,2,-234,4,-229,5,-230,5,-230,4,,
Sachse et al 2004,SOD003,25,3,67.38,26.85,178,-68.3,-98,1,2018,-103.7,0.2,,,-235,7,,,-210,11,-215,9,,,,
Sachse et al 2004,SOD007,26,4,67.36,27.17,293,-69,-99,1,2018,,,,,-268,5,,,-220,3,-227,5,,,,
Sachse et al 2004,HYY,27,5,61.85,24.28,149,-60.7,-89,1,2018,-81.1,0.6,-244,8,-218,2,-206,3,-202,1,-205,4,-209,3,,
Sachse et al 2004,SYR,28,6,61.19,25.14,156,-59.3,-88,1,2018,-86.5,0.3,,,-207,1,-202,1,,,-207,2,,,,
Sachse et al 2004,LAM,29,7,61.06,25.1,151,-59.3,-88,1,2018,-73.7,0,,,-272,12,-205,4,-213,6,-205,4,,,,
Sachse et al 2004,SOR,30,8,55.55,11.7,30,-40,-65,1,2018,-46.4,0.7,-213,2,,,-193,1,,,-201,2,-208,0,,
Sachse et al 2004,HZM,31,9,50.12,6.88,436,-27,-56,2,2018,-47.1,0.6,,,-225,6,-180,8,-184,10,-198,1,-198,5,,
Sachse et al 2004,MAS,32,10,43.83,10.31,18,-8.7,-36,2,2018,-6.3,0.6,-235,6,,,,,-129,17,-159,7,,,,
Sachse et al 2004,MEZ,33,11,42.61,11.77,466,-11,-41,1,2018,-3.5,0.6,,,-164,11,-153,13,-163,4,-167,3,,,,
Sachse et al 2004,LGM,34,12,40.93,15.6,674,-15.3,-48,1,2018,-13.5,0.2,-194,5,,,,,,,-180,3,-185,16,,
Sachse et al 2004,LPM,35,13,40.93,15.61,685,-15.7,-48,1,2018,-32.6,0.6,-180,5,,,-168,5,-177,2,-169,2,,,,
Daniels et al 2017,UCL,36,1,68.63,-149.41,806,-120,-151,7,2018,,,,,,,,,,,,,,,,
Daniels et al 2017,E5,37,2,68.64,-149.46,800,-119,-151,7,2018,,,,,,,,,-258,,-261,,,,,
Daniels et al 2017,E6,38,3,68.64,-149.44,794,-119,-151,6,2018,,,,,,,,,-269,,-266,,-258,,,
Daniels et al 2017,E1,39,4,68.63,-149.55,777,-119,-150,6,2018,,,,,,,,,-259,,-259,,-257,,,
Daniels et al 2017,I6HW,40,5,68.58,-149.62,808,-119.5,-151,6,2018,,,,,,,,,-260,,-263,,-268,,,
Daniels et al 2017,FOG1,41,6,68.68,-149.08,773,-119.5,-151,6,2018,,,,,,,,,-255,,-257,,-267,,,
Daniels et al 2017,FOG2,42,7,68.68,-149.09,776,-119.75,-151,6,2018,,,,,,,,,-257,,-259,,-258,,,
Daniels et al 2017,FOG4,43,8,68.68,-149.07,760,-119,-151,6,2018,,,,,,,,,-266,,-264,,-271,,,
Daniels et al 2017,GALBRAITH,44,9,68.46,-149.42,800,-121.25,-153,6,2018,,,,,,,,,,,,,,,,
Daniels et al 2017,I1,45,10,68.57,-149.59,792.5,-119.5,-151,6,2018,,,,,,,,,-261,,-260,,-271,,,
Daniels et al 2017,I2,46,11,68.57,-149.57,792,-119.5,-151,6,2018,,,,,,,,,,,,,,,,
Daniels et al 2017,I3,47,12,68.58,-149.58,778,-119.25,-151,6,2018,,,,,,,,,-270,,-265,,-278,,,
Daniels et al 2017,I4,48,13,68.58,-149.58,778,-119,-151,6,2018,,,,,,,,,-266,,-264,,-278,,,
Daniels et al 2017,I5,49,14,68.59,-149.59,778,-119,-151,6,2018,,,,,,,,,-271,,-268,,-275,,,
Daniels et al 2017,I6,50,15,68.6,-149.59,800,-119,-151,6,2018,,,,,,,,,-270,,-265,,-270,,,
Daniels et al 2017,I7,51,16,68.6,-149.59,748,-118.75,-150,6,2018,,,,,,,,,-271,,-269,,-277,,,
Daniels et al 2017,I8,52,17,68.61,-149.58,748,-118.75,-150,6,2018,,,,,,,,,-265,,-260,,-275,,,
Daniels et al 2017,ISWAMP,53,18,68.61,-149.6,741,-118.75,-150,6,2018,,,,,,,,,-282,,-273,,-268,,,
Daniels et al 2017,N1,54,19,68.64,-149.6,730,-118,-149,6,2018,,,,,,,,,-256,,-255,,-256,,,
Daniels et al 2017,N2,55,20,68.64,-149.62,732,-118,-149,6,2018,,,,,,,,,-251,,-253,,-262,,,
Daniels et al 2017,S11,56,21,68.63,-149.65,749,-118,-150,6,2018,,,,,,,,,,,,,,,,
Daniels et al 2017,S6,57,22,68.63,-149.64,736,-118,-150,6,2018,,,,,,,,,-259,,-261,,,,,
Daniels et al 2017,S7,58,23,68.63,-149.64,742,-118,-150,6,2018,,,,,,,,,-270,,-261,,-257,,,
Daniels et al 2017,TLK,59,24,68.63,-149.6,720,-118,-149,6,2018,,,,,,,,,,,,,,,,
Polissar and Freeman 2010,Laguna Potosi,60,1,19.64,-65.7,4640,-113.7,-112,4,2018,-59,5,,,-188.2,1.4,,,-184,0.1,-205.6,11.4,-200,2.6,,
Polissar and Freeman 2010,Lago Taypi Chaka Kkota,61,2,16.2,-68.35,4300,-116.3,-105,5,2018,-113.5,5,,,-206.3,,,,-215.3,,-224.6,,-232.3,,,
Polissar and Freeman 2010,Laguna Arenales Alta,62,3,8.73,-71.19,4005,-77.3,-93,12,2018,-70,5,,,-172.5,,,,-189.5,3.4,-185.9,3.7,-196.5,3.7,,
