Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Month,Month_No,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196601,Water - Precipitation - snow,1/15/66,1/1/66,1/31/66,Jan,A,,-32.99,University of Copenhagen,-233.2,University of Copenhagen,738,36,Chalk River Nuclear Laboratories,17,-27.6,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196602,Water - Precipitation - snow,2/15/66,2/1/66,2/28/66,Feb,B,,-35.28,University of Copenhagen,-263.3,University of Copenhagen,727,36,Chalk River Nuclear Laboratories,17,-20.1,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196603,Water - Precipitation - snow,3/15/66,3/1/66,3/31/66,Mar,C,,-39.56,University of Copenhagen,-305,University of Copenhagen,1430,72,Chalk River Nuclear Laboratories,4,-26.4,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196604,Water - Precipitation - snow,4/15/66,4/1/66,4/30/66,Apr,D,,-28.8,University of Copenhagen,-218.8,University of Copenhagen,1540,77,Chalk River Nuclear Laboratories,4,-21.4,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196605,Water - Precipitation - snow,5/15/66,5/1/66,5/31/66,May,E,,-24.34,University of Copenhagen,-196.4,University of Copenhagen,1750,88,Chalk River Nuclear Laboratories,6,-7.8,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196606,Water - Precipitation - rain & snow ( mixed ),6/15/66,6/1/66,6/30/66,Jun,F,,-22.78,University of Copenhagen,-173.1,University of Copenhagen,1472,74,Chalk River Nuclear Laboratories,9,0.9,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196607,Water - Precipitation - rain & snow ( mixed ),7/15/66,7/1/66,7/31/66,Jul,G,,-14.7,University of Copenhagen,-103.4,University of Copenhagen,755,38,Chalk River Nuclear Laboratories,4,3.1,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196608,Water - Precipitation - rain & snow ( mixed ),8/15/66,8/1/66,8/31/66,Aug,H,,-17.94,University of Copenhagen,-134.8,University of Copenhagen,1268,63,Chalk River Nuclear Laboratories,117,4.9,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196609,Water - Precipitation - snow,9/15/66,9/1/66,9/30/66,Sep,I,,-13.98,University of Copenhagen,-103.4,University of Copenhagen,455,23,Chalk River Nuclear Laboratories,10,-3.1,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196610,Water - Precipitation - snow,10/15/66,10/1/66,10/31/66,Oct,J,,-20.88,University of Copenhagen,-165.1,University of Copenhagen,269,13,Chalk River Nuclear Laboratories,19,-8.7,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196611,Water - Precipitation - snow,11/15/66,11/1/66,11/30/66,Nov,K,,,,,,200,,Chalk River Nuclear Laboratories,1,-15.9,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196612,Water - Precipitation - snow,12/15/66,12/1/66,12/31/66,Dec,L,,-36.02,University of Copenhagen,-256.8,University of Copenhagen,403,20,Chalk River Nuclear Laboratories,7,-24.2,
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196701,Water - Precipitation - snow,1/15/67,1/1/67,1/31/67,Jan,A,,-24.04,University of Copenhagen,-173.1,University of Copenhagen,318,16,Chalk River Nuclear Laboratories,5,-21,0.4
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196702,Water - Precipitation - snow,2/15/67,2/1/67,2/28/67,Feb,B,,-28.66,University of Copenhagen,-204.4,University of Copenhagen,627,31,Chalk River Nuclear Laboratories,6,-25,0.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196703,Water - Precipitation - snow,3/15/67,3/1/67,3/31/67,Mar,C,,-28.19,University of Copenhagen,-221.5,University of Copenhagen,742,38,Chalk River Nuclear Laboratories,1,-19,0.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196704,Water - Precipitation - snow,4/15/67,4/1/67,4/30/67,Apr,D,,-24.38,University of Copenhagen,-189,University of Copenhagen,497,25,Chalk River Nuclear Laboratories,5,-19,0.6
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196705,Water - Precipitation - snow,5/15/67,5/1/67,5/31/67,May,E,,-17.32,University of Copenhagen,-114.5,University of Copenhagen,468,23,Chalk River Nuclear Laboratories,8,-1,3.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196706,Water - Precipitation - rain & snow ( mixed ),6/15/67,6/1/67,6/30/67,Jun,F,,-18.82,University of Copenhagen,-131.7,University of Copenhagen,650,,,11,4,5.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196707,Water - Precipitation - rain & snow ( mixed ),7/15/67,7/1/67,7/31/67,Jul,G,,-19.95,University of Copenhagen,-149.6,University of Copenhagen,747,37,Chalk River Nuclear Laboratories,21,4,5.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196708,Water - Precipitation - rain & snow ( mixed ),8/15/67,8/1/67,8/31/67,Aug,H,,-20.1,University of Copenhagen,-149.6,University of Copenhagen,541,27,Chalk River Nuclear Laboratories,2,3,4.3
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196709,Water - Precipitation - rain & snow ( mixed ),9/15/67,9/1/67,9/30/67,Sep,I,,,,,,378,19,Chalk River Nuclear Laboratories,3,5,4.8
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196710,Water - Precipitation - snow,10/15/67,10/1/67,10/31/67,Oct,J,,-17.29,University of Copenhagen,-165.1,University of Copenhagen,190,,Chalk River Nuclear Laboratories,6,-12.1,1.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196711,Water - Precipitation - snow,11/15/67,11/1/67,11/30/67,Nov,K,,,,-227.6,University of Copenhagen,174,,Chalk River Nuclear Laboratories,24,-20.5,0.5
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196712,Water - Precipitation - snow,12/15/67,12/1/67,12/31/67,Dec,L,,-27.7,University of Copenhagen,-208.4,University of Copenhagen,327,,Chalk River Nuclear Laboratories,35,-18.6,0.6
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196801,Water - Precipitation - snow,1/15/68,1/1/68,1/31/68,Jan,A,,-38.02,University of Copenhagen,-295.6,University of Copenhagen,2164,,Chalk River Nuclear Laboratories,1,-28,0.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196802,Water - Precipitation - snow,2/15/68,2/1/68,2/29/68,Feb,B,,-25.41,University of Copenhagen,-198.3,University of Copenhagen,495,,Chalk River Nuclear Laboratories,10,-27,0.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196803,Water - Precipitation - snow,3/15/68,3/1/68,3/31/68,Mar,C,,-31.71,University of Copenhagen,-243.4,University of Copenhagen,547,,Chalk River Nuclear Laboratories,6,-28,0.2
GNIP,GNIP/M/XX/01,THULE (GREENLAND),GL,420200,76.52,-68.83,77,Precipitation collectors - unknown,[Partners: n/a],196804,Water - Precipitation - snow,4/15/68,4/1/68,4/30/68,Apr,D,,-21.9,University of Copenhagen,-176.8,University of Copenhagen,356,,Chalk River Nuclear Laboratories,7,-13,0.9
