core_id,Depth,Age,age_calBP-,age_calBP+,d2HC26,C26e,d2HC28,C28e,d2HC24,C24e
10N3SC,0.5,-51,-47,-55,-196.4,1.7,-187.5,0.2,-208.47,2.5
10N3SC,1.375,-33,-25,-41,-196.1,1.2,-187,0.5,-201.9,1
10N3SC,4.625,75,435,-285,-206.9,0.7,-195.4,1.6,-220.22,1.4
10N3-2A,0.25,328,388,250,-206.2,0.7,-196.6,2,-217.04,1.2
10N3-2A,0.75,369,425,295,-203.9,2.4,-191.3,1.5,-215.54,2.9
10N3-2A,3.25,572,618,511,-195.7,2.5,-187.1,2,-212.31,2.9
10N3-2A,4.25,654,700,594,-192.6,1,-185.5,1.5,-211.33,3
10N3-2A,5.25,735,785,673,-190.1,0.7,-180.6,0.4,-213.48,0.5
10N3-2A,7.75,938,1009,866,-188.4,1.2,-180.7,1.5,-213.78,0.6
10N3-2A,9.75,1099,1190,1020,-183.4,0,-188.8,0,-206.97,5.1
10N3-2A,11.75,1258,1366,1170,-186.8,0.6,-177.9,4.9,-196.07,0
10N3-2A,12.75,1337,1453,1245,-191.5,0.8,-184.6,2,-223.18,1.9
10N3-2A,14.25,1454,1582,1356,-187.8,0.1,-180.2,0.1,-215.17,0
10N3-2A,15.25,1531,1665,1430,-191.3,1.5,-179.9,4.7,-215.6,0.6
10N3-2A,18.25,1758,1913,1647,-194.7,1.3,-184.7,0.5,-213.7,2.3
10N3-2A,19.75,1869,2034,1753,-198.7,1.3,-188.2,1.3,-211.72,1.4
10N3-2A,20.75,1941,2113,1823,-190.1,0.6,-180.3,2,-215.72,1.4
10N3-2A,22.25,2047,2229,1925,-190.6,0.1,-183.9,0.6,-207.21,1.6
10N3-2A,25.75,2285,2484,2155,-181.7,0.7,-172.4,0.9,-204.24,5.7
10N3-2A,26.75,2349,2551,2217,-188.2,0.4,-180.2,0.8,-212.58,0.4
10N3-2A,28.25,2444,2648,2309,-196.3,1.1,-186.1,3.4,-212.25,0.6
10N3-2A,30.25,2564,2771,2428,-192,2.4,-182.5,0.7,-223.8,0.7
10N3-2A,31.75,2650,2858,2515,-195.2,1.8,-184.5,2.8,-219.69,1.8
10N3-2A,33.75,2758,2963,2623,-192.7,2.1,-181.7,4.9,-229.16,3
10N3-2A,35.75,2860,3059,2727,-192.3,1.3,-179.5,1.1,-241.25,0.6
10N3-2A,37.25,2933,3126,2803,-190.6,1.1,-184.9,1.2,-235.81,0.3
10N3-2A,39.75,3048,3228,2924,-196.4,1.8,-187.5,3.6,-248.41,1.4
10N3-2A,41.75,3133,3302,3015,-194.7,1.4,-182.4,1.4,-224.65,2.7
10N3-2A,44.75,3253,3398,3146,-186.7,3,-177.5,2.9,-247.43,0
10N3-2A,46.75,3327,3454,3228,-192.3,2.1,-183.2,2.2,-243.73,0.3
10N3-2A,53.25,3541,3632,3466,-194.1,1.1,-184.5,1.5,-235.62,1.3
10N3-2A,56.75,3643,3718,3574,-188.2,1.4,-180.9,1.5,-243.34,0.8
10N3-2A,57.5,3664,3736,3596,-195.9,1.2,-188.8,1.1,-253.44,0.3
