age_calBP,ablabesmyia,arctopelopia,procladius,tanypodinae,corynoneura.a,cricotopus-p,cricotopus-o,heterotris.g,metriocnemus.h,psectrocladius.s,orthocladiinae,chironomus,chironomini.l,dicrotendipes,paracladopelma,tanytarsus.l,tanytarsus.ns,micropsectra,tanytarsini.und,temp-JLangdon,temp-JFrancisWA,temp-JFrancisWAT,tanom-J,tanom-J,tanom-J,tanom-J_average
-56,0,4.52261,2.51256,4.0201,2.01005,1.00503,0,4.0201,0,20.1005,1.00503,4.0201,0,3.01508,16.0804,1.00503,29.6482,7.03518,9.21257,12.901,12.7896,0,0,0,0,0
-51,0,6.41509,5.66038,4.90566,3.01887,0.754717,0,6.03774,0,8.67925,0.754717,3.77358,0,1.13208,20.3774,1.50943,29.434,7.54717,9.31194,12.429,12.4217,0.0993622,-0.472,-0.3679,-0.246846,-0.362248667
-42,0,1.84502,5.16605,5.90406,0,1.10701,0.738007,2.95203,0,12.9151,0,4.42804,0,0.738007,18.4502,1.47601,39.1144,5.16605,8.8807,12.7457,12.5847,-0.331878,-0.1553,-0.2049,-0.230693,-0.196964333
-38,1.23457,3.08642,4.32099,6.79012,2.46914,2.46914,0,2.46914,0,4.93827,2.46914,3.08642,2.46914,1.23457,13.5802,0,44.4444,4.93827,9.75904,12.327,12.4475,0.546464,-0.574,-0.3421,-0.123212,-0.346437333
-28,0,8.73016,4.7619,5.55556,0,0,0,2.38095,0,7.14286,0,5.55556,0,3.1746,11.1111,1.5873,43.6508,6.34921,9.61402,13.3625,13.0904,0.401445,0.4615,0.3008,0.387915,0.383405
-7,0,2.42424,2.42424,0,2.42424,2.42424,0,1.81818,0,8.48485,0.606061,3.0303,0,1.21212,25.4545,1.21212,41.2121,7.27273,8.25591,12.0024,12.1918,-0.956663,-0.8986,-0.5978,-0.817688,-0.771362667
0,0,0,10.2941,17.6471,5.88235,0,1.47059,6.61765,0,3.67647,0.735294,6.61765,0,0,20.5882,0,25,1.47059,8.92187,12.1887,12.1241,-0.290702,-0.7123,-0.6655,-0.556167,-0.644655667
25,0,1.8018,9.00901,0.900901,9.90991,0,0,2.7027,0,5.40541,0,2.7027,0,0,23.4234,0,38.7387,5.40541,8.09262,11.6924,11.7557,-1.11996,-1.2086,-1.0339,-1.12082,-1.121106667
70,0,0,3.98671,1.3289,9.30233,1.99336,0,2.99003,0,6.97674,0.996678,1.99336,0,0,25.2492,0,39.2027,5.98007,7.86734,11.2209,11.4403,-1.34523,-1.6801,-1.3493,-1.45821,-1.49587
298.225,0,0,7.92079,9.90099,1.9802,0,0,3.9604,0,11.8812,0,8.91089,0,7.92079,25.7426,0,15.8416,5.94059,9.05924,13.5215,13.1928,-0.153329,0.6205,0.4032,0.290124,0.437941333
656.095,0,0,16.8421,16.3158,3.15789,4.73684,0,1.57895,0,19.4737,0,4.21053,0,4.73684,7.36842,4.21053,12.1053,5.26316,9.46813,13.5649,13.2163,0.255551,0.6639,0.4267,0.448717,0.513105667
