depth_cm,age_calBP,FOR15_WAPLS,eSEP_FOR15_WAPLS,FOR15_anomaly,FRA06_Watol,eSEP_FRA06_Watol,FRA06_anomaly,anom_average,id_sum,Chironomus,Corynoneura/Thienemaniella,Cricotopus/Orthocladius,Eukiefferiella/Tvetenia,Heterotrissocladius,Micropsectra,Oliveridia/Hydrobaenus,Paracladopelma,Paratanytarsus,Procladius,Psectrocladius,Psectrocladius,Sergentia,Smittia,Tanytarsus,lugens/Corynocera,oliveri,Tanytarsini,undiff,Pentaneurini,Paracladius,Parakieferiella,nigra,Limnophyes/Paralimnophyes,Metriocnemus,Chaetocladius,Rheocrictopus,Paracricotopus
0,-62,5.82713,1.88043,0,ND,ND,ND,0,48.5,0,0,19.5876,0,7.21649,46.3918,8.24742,0,12.3711,0,0,0,0,0,6.18557,0,0,0,0,0,0,0,0,0,0,0,0,0
0.875,-47.0981,6.41492,1.88116,0.58779,ND,ND,ND,0.58779,64,0,0,17.1875,0,26.5625,34.375,7.03125,0,0,0,0,0,0,0,14.8438,0,0,0,0,0,0,0,0,0,0,0,0,0
1.875,-28.8181,6.24443,1.91944,0.4173,ND,ND,ND,0.4173,65.5,0,0,23.6641,0,22.1374,28.2443,12.9771,0,0,0,3.05344,0,0,0,8.39695,0,0,0,0,0,0,0,0,0,0,0,0,1.52672
2.875,-10.538,5.33615,1.88399,-0.49098,ND,ND,ND,-0.49098,50,0,4,15,0,12,19,26,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
4.125,12.312,6.07909,1.89685,0.25196,ND,ND,ND,0.25196,82,0,0,15.8537,1.21951,32.3171,10.9756,28.6585,0,1.21951,0,0,0,0,0,8.53659,0,0,1.21951,0,0,0,0,0,0,0,0,0,0
5.375,38.4925,5.60396,1.98804,-0.22317,ND,ND,ND,-0.22317,52,0,0,8.65385,0,37.5,15.3846,26.9231,0,0,0,0,0,0,0,7.69231,0,0,0,0,1.92308,0,0,0,0,0,1.92308,0,0
12.75,470.772,5.16104,1.89435,-0.66609,ND,ND,ND,-0.66609,72.5,0,1.37931,2.06897,0,32.4138,20.6897,34.4828,0,0,0,0,5.51724,0,0,3.44828,0,0,0,0,0,0,0,0,0,0,0,0,0
20.75,1408.21,5.87547,1.90374,0.04834,ND,ND,ND,0.04834,109,0,0,7.79817,4.58716,18.3486,23.8532,27.5229,0,1.83486,0,0,2.75229,0,0,11.4679,0.917431,0,0,0,0,0,0,0,0,0,0,0.917431,0
25,2018.25,6.16729,1.8774,0.34016,ND,ND,ND,0.34016,69,0,1.44928,2.89855,0,26.087,42.029,12.3188,0,0,0,0,2.89855,0,1.44928,9.42029,0,0,0,0,0,1.44928,0,0,0,0,0,0,0
31.75,2974,6.84077,1.88407,1.01364,ND,ND,ND,1.01364,117,0,0.854701,0.854701,1.7094,33.3333,17.094,10.6838,0,0,0,0,8.54701,0,0,26.4957,0,0,0,0,0,0,0.42735,0,0,0,0,0,0
34,3316.21,6.68172,1.88791,0.85459,ND,ND,ND,0.85459,66.5,0,3.00752,0.75188,0.75188,46.6165,25.5639,12.0301,0,0,0,0,1.50376,0,0,9.77444,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4036.38,6.48841,1.88997,0.66128,ND,ND,ND,0.66128,61,0,0,1.63934,1.63934,37.7049,34.4262,12.2951,0,0,0,0,5.7377,0,1.63934,1.63934,0,0,0,0,0,0,0,0,0,3.27869,0,0,0
43,4380.17,6.17359,1.91232,0.34646,ND,ND,ND,0.34646,80,0,0,0,0,53.75,26.875,6.25,0,0,0,0,3.75,0,0,8.125,0,0,0,0,1.25,0,0,0,0,0,0,0,0
49,5039.36,6.95278,1.9034,1.12565,ND,ND,ND,1.12565,68.5,0,0,0,0,63.5036,16.7883,10.219,0,0,0,0,0.729927,0,0,8.75912,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5395.44,7.16234,1.92133,1.33521,ND,ND,ND,1.33521,60,0,1.66667,0,3.33333,46.6667,25.8333,16.6667,0,0,0,0,1.66667,0,0,0.833333,0,0,3.33333,0,0,0,0,0,0,0,0,0,0
61,5610.3,7.56027,1.88486,1.73314,7.78566,1.66261,1.02656,1.37985,66.5,0,0,0.75188,0,57.8947,22.5564,1.50376,0,0,0,3.00752,4.51128,0,0,9.77444,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5720.35,7.9103,1.89254,2.08317,8.24788,1.65571,1.48878,1.785975,106,0,2.83019,0,0,53.3019,33.4906,0.471698,0,0,0,0,2.83019,0,0,5.66038,0.943396,0,0,0.471698,0,0,0,0,0,0,0,0,0
70,5937.29,7.13704,1.89088,1.30991,7.25287,1.64703,0.49377,0.90184,66.5,0,0,0.75188,0,48.8722,32.3308,2.25564,0,0,0,0,7.5188,0,0,8.27068,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6041.43,7.23318,1.91129,1.40605,7.09169,1.64772,0.33259,0.86932,96,0,1.04167,0.520833,0,46.875,33.3333,3.64583,0,0,1.04167,0,4.6875,1.04167,1.04167,6.77083,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6249.85,7.9433,1.89431,2.11617,8.95858,1.62706,2.19948,2.157825,73,0,0,0,0,32.8767,43.1507,0,0,0,1.36986,0,3.42466,0,2.73973,16.4384,0,0,0,0,0,0,0,0,0,0,0,0,0
85,6505.49,8.39168,1.88225,2.56455,9.40828,1.78097,2.64918,2.606865,131,0,2.29008,0,0.381679,38.9313,32.0611,0,1.52672,0,0,1.52672,1.52672,0,2.29008,16.0305,3.43511,0,0,0,0,0,0,0,0,0,0,0,0
88,6706.04,8.48245,1.89158,2.65532,8.92532,1.77763,2.16622,2.41077,106,0,0,0,0.471698,42.4528,35.8491,0,0.943396,0.943396,0.943396,1.886788,0.943396,0,4.71698,9.90566,0.943396,0,0,0,0,0,0,0,0,0,0,0,0
94,7112.54,8.27182,1.87986,2.44469,9.95623,1.64469,3.19713,2.82091,122,0,3.68852,0,0,43.4426,24.5902,0,0,0,0,2.45902,2.45902,0,6.14754,15.5738,1.63934,0,0,0,0,0,0,0,0,0,0,0,0
100,7511.42,7.96641,1.89918,2.13928,9.00562,1.62548,2.24652,2.1929,81,0,0,0.617284,0,39.5062,49.3827,0,0,0,0,0,1.85185,0,1.23457,7.40741,0,0,0,0,0,0,0,0,0,0,0,0,0
103,7710.44,7.0526,1.88139,1.22547,8.52919,1.67952,1.77009,1.49778,132,0,0.757576,1.51515,0,29.9242,36.7424,0.757576,0,0,0,0.757576,4.16667,0,3.0303,18.9394,2.65152,0,0,0,0.757576,0,0,0,0,0,0,0,0
109,8114.88,7.83359,1.8941,2.00646,9.87785,1.64319,3.11875,2.562605,80.5,0,0,0,0,29.1925,51.5528,0,0,1.24224,1.24224,0,0,0,1.24224,12.4224,1.24224,1.86335,0,0,0,0,0,0,0,0,0,0,0
115,8556.78,8.10761,1.89285,2.28048,7.15037,1.59827,0.39127,1.335875,99.5,0,0,0,0,36.1809,37.6884,0,0,0.502513,0,1.00503,1.50754,0,1.00503,18.0905,0,0,3.01508,0,0,0,0,1.00503,0,0,0,0,0
124,9193.19,8.50359,1.89361,2.67646,8.7501,1.8557,1.991,2.33373,102.5,0,0,0,0.97561,33.1707,37.0732,0,0,2.92683,0,0.487805,0,0,4.87805,19.0244,0.487805,0,0,0.97561,0,0,0,0,0,0,0,0,0
130,9473.19,8.14495,1.89346,2.31782,10.4319,1.64959,3.6728,2.99531,108.5,0,0,0.460829,0,15.6682,32.7189,0,0,3.68664,0.921659,2.30415,0,0,21.1982,21.659,0.921659,0,0,0.460829,0,0,0,0,0,0,0,0,0
136,9753.19,8.01754,1.89201,2.19041,9.19652,1.75524,2.43742,2.313915,238,0,0.420168,0.420168,0.210084,17.6471,51.8908,0,0,1.2605,0,2.31092,0,0,11.3445,14.4958,0,0,0,0,0,0,0,0,0,0,0,0,0
139,10033.2,7.86853,1.90078,2.0414,8.6101,1.782,1.851,1.9462,148,0,0.675676,0,0.337838,8.44595,60.8108,0,0,3.37838,0,0,0,0,7.43243,18.9189,0,0,0,0,0,0,0,0,0,0,0,0,0
142,10313.2,7.21027,1.9359,1.38314,8.33809,1.68553,1.57899,1.481065,262,0,0.954198,0.763359,0,0,31.1069,0.19084,0,12.5954,0,0,0,0,36.2595,17.1756,0,0,0,0,0,0,0,0,0.381679,0,0,0.572519,0
145,10593.2,7.43802,1.91849,1.61089,7.94725,1.68635,1.18815,1.39952,262,0.381679,1.9084,0,0,0,34.542,0.381679,0,19.4656,0,0.381679,,,,,,,,,,,,,,,,,
