Depth,Temperature,Temp.e,Period,Age,TempAnom,anom_up,anom_lw,chiron_headcaps_gram
0,7.3,1.7,Holocene,600,1.1,2.8,-0.6,135
12.25,8,1.7,Holocene,851,1.8,3.5,0.1,175.8064516
22.25,7.1,1.7,Holocene,1053,0.9,2.6,-0.8,91.21621622
32.25,7.7,1.7,Holocene,1139,1.5,3.2,-0.2,147.515528
52.25,7.7,1.7,Holocene,1569,1.5,3.2,-0.2,97.3871734
62.25,7.8,1.7,Holocene,2162,1.6,3.3,-0.1,110.2272727
70.25,8.2,1.7,Holocene,2407,2,3.7,0.3,142.6630435
80.25,11.5,1.7,Holocene,3259,5.3,7,3.6,334.8484848
90.25,11.8,1.7,Holocene,4289,5.6,7.3,3.9,353.3834586
96,10.5,1.7,Holocene,4712,4.3,6,2.6,530.3030303
120.75,11,1.7,Holocene,7060,4.8,6.5,3.1,552.9100529
131.75,12.3,1.7,Holocene,8000,6.1,7.8,4.4,521.7391304
135.25,11.8,1.7,Holocene,8267,5.6,7.3,3.9,588.028169
150.25,11.7,1.7,Holocene,9380,5.5,7.2,3.8,576.7634855
154.25,12,1.7,Holocene,9675,5.8,7.5,4.1,425.5952381
163.25,9,1.7,Holocene,10000,2.8,4.5,1.1,595.2380952
