Age,d18O
0,-26.38
25,-26.07
50,-27.301
75,-27.363
100,-27.401
125,-27.618
150,-28.081
175,-28.277
200,-27.772
225,-27.581
250,-27.942
275,-28.556
300,-28.526
325,-28.104
350,-28.141
375,-28.208
400,-27.967
425,-27.925
450,-28.04
475,-28.218
500,-28.387
525,-28.183
550,-27.668
575,-27.97
600,-27.97
625,-27.815
650,-27.967
675,-28.105
700,-27.759
725,-27.818
750,-28.128
775,-27.829
800,-27.761
825,-27.543
850,-27.459
875,-27.903
900,-27.899
925,-28.207
950,-27.918
975,-27.733
1000,-27.637
1025,-27.953
1050,-27.234
1075,-27.529
1100,-27.513
1125,-27.254
1150,-27.344
1175,-27.412
1200,-27.733
1225,-27.751
1250,-27.693
1275,-27.295
1300,-27.305
1325,-27.49
1350,-27.773
1375,-27.86
1400,-27.733
1425,-27.893
1450,-27.635
1475,-27.988
1500,-27.628
1525,-27.613
1550,-27.433
1575,-27.184
1600,-27.181
1625,-27.619
1650,-27.374
1675,-27.076
1700,-27.338
1725,-27.324
1750,-27.207
1775,-27.227
1800,-27.571
1825,-27.745
1850,-27.318
1875,-27.84
1900,-27.336
1925,-28.295
1950,-27.916
1975,-27.365
2000,-26.962
2025,-27.18
2050,-27.43
2075,-27.433
2100,-27.235
2125,-27.73
2150,-27.671
2175,-28.103
2200,-28.086
2225,-27.404
2250,-27.298
2275,-27.157
2300,-26.855
2325,-27.041
2350,-27.096
2375,-27.129
2400,-26.991
2425,-27.247
2450,-27.526
2475,-27.599
2500,-27.538
2525,-27.82
2550,-27.605
2575,-27.683
2600,-26.567
2625,-27.179
2650,-27.591
2675,-27.672
2700,-26.922
2725,-27.131
2750,-26.754
2775,-27.1
2800,-27.157
2825,-27.013
2850,-27.112
2875,-26.533
2900,-27.383
2925,-27.336
2950,-27.301
2975,-27.105
3000,-26.925
3025,-26.485
3050,-26.769
3075,-26.984
3100,-27.062
3125,-26.999
3150,-27.341
3175,-27
3200,-27.524
3225,-27.31
3250,-27.171
3275,-26.869
3300,-26.484
3325,-27.397
3350,-27.165
3375,-27.24
3400,-27.108
3425,-27.154
3450,-27.128
3475,-28.021
3500,-27.788
3525,-27.436
3550,-27.057
3575,-26.923
3600,-27.049
3625,-27.108
3650,-27.548
3675,-27.443
3700,-27.328
3725,-27.155
3750,-27.662
3775,-27.372
3800,-27.45
3825,-26.899
3850,-26.978
3875,-27.287
3900,-27.094
3925,-27.423
3950,-27.016
3975,-27.284
4000,-27.607
4025,-27.018
4050,-27.163
4075,-27.032
4100,-26.855
4125,-26.877
4150,-26.81
4175,-26.787
4200,-26.285
4225,-26.791
4250,-26.573
4275,-27.242
4300,-27.779
4325,-27.589
4350,-27.431
4375,-27.165
4400,-27.388
4425,-26.996
4450,-27.267
4475,-27.018
4500,-27.416
4525,-26.882
4550,-27.049
4575,-27.284
4600,-26.333
4625,-27.08
4650,-27.015
4675,-26.83
4700,-26.548
4725,-26.294
4750,-26.586
4775,-26.559
4800,-26.848
4825,-26.87
4850,-27.425
4875,-27.082
4900,-27.259
4925,-26.887
4950,-26.547
4975,-26.305
5000,-26.126
5025,-26.41
5050,-26.705
5075,-27.058
5100,-26.747
5125,-26.837
5150,-26.723
5175,-26.976
5200,-26.325
5225,-26.655
5250,-27.053
5275,-26.799
5300,-27.031
5325,-26.834
5350,-26.56
5375,-26.556
5400,-26.658
5425,-26.446
5450,-26.439
5475,-26.499
5500,-26.818
5525,-26.216
5550,-26.597
5575,-26.631
