Age,Renland,A84/A87
40,-27.14,-27.18
60,-26.76,-27.03
80,-26.94,-27.24
100,-27.86,-27.25
120,-27.63,-27.67
140,-27.23,-28.49
160,-27.74,-28.02
180,-27.77,-27.84
200,-27.49,-27.8
220,-27.38,-27.63
240,-27.47,-27.63
260,-27.74,-28.32
280,-27.65,-28.48
300,-27.97,-28.56
320,-27.07,-28.54
340,-27.26,-28.02
360,-27.35,-28.37
380,-27.63,-27.8
400,-27.56,-28.14
420,-27.34,-27.72
440,-27.61,-28.37
460,-27.13,-27.98
480,-27.01,-28.13
500,-27.5,-28.76
520,-27.32,-28.06
540,-27.48,-27.87
560,-26.73,-27.62
580,-27.58,-27.82
600,-26.71,-28.05
620,-26.72,-27.9
640,-27.6,-27.86
660,-27.63,-28.16
680,-27,-28.14
700,-27.17,-27.44
720,-27.71,-27.83
740,-27.46,-28.23
760,-27.78,-28.02
780,-27.32,-27.68
800,-27,-27.6
820,-27.5,-27.58
840,-26.55,-28.11
860,-27.21,-27.58
880,-27.46,-27.16
900,-27.11,-28.45
920,-27.41,-28.26
940,-27.76,-28.12
960,-27.35,-27.68
980,-27.42,-27.56
1000,-27.15,-27.87
1020,-27.16,-27.82
1040,-26.81,-27.52
1060,-27.29,-27.5
1080,-27.16,-27.27
1100,-27.39,-27.87
1120,-26.92,-27.7
1140,-27.07,-26.91
1160,-27.03,-26.88
1180,-26.9,-28.13
1200,-27.52,-27.47
1220,-27.88,-27.37
1240,-26.51,-27.76
1260,-26.96,-27.49
1280,-27.2,-28.09
1300,-27.42,-27.64
1320,-27.67,-27.14
1340,-27.28,-27.01
1360,-27.52,-27.62
1380,-27.07,-27.92
1400,-27.29,-27.93
1420,-27.46,-27.56
1440,-27.02,-27.92
1460,-26.89,-27.93
1480,-27.27,-27.63
1500,-26.97,-27.84
1520,-27.2,-27.77
1540,-27.86,-27.47
1560,-26.97,-27.29
1580,-26.71,-27.1
1600,-26.45,-27.19
1620,-27.11,-27.67
1640,-27.26,-27.29
1660,-27.26,-27.32
1680,-26.86,-27.19
1700,-27.73,-27.35
1720,-26.79,-27.43
1740,-27.59,-27.53
1760,-27.33,-27.07
1780,-27.62,-27.33
1800,-27.5,-27.33
1820,-27.43,-27.35
1840,-26.89,-27.64
1860,-27.25,-27.7
1880,-26.53,-27.6
1900,-27.33,-27.84
1920,-27.73,-27.25
1940,-26.81,-27.55
1960,-27.08,-27.96
1980,-27.21,-28.6
2000,-26.96,-28.11
2020,-27.16,-27.46
2040,-26.1,-26.88
2060,-26.98,-27.38
2080,-27.7,-26.73
2100,-26.96,-27.27
2120,-27.09,-27.38
2140,-27.37,-27.59
2160,-26.73,-27.44
2180,-27.14,-27.41
2200,-27.45,-27.57
2220,-27.59,-27.65
2240,-27.45,-27.82
2260,-26.85,-28.05
2280,-27.27,-27.9
2300,-26.97,-28.19
2320,-26.95,-28.22
2340,-27.89,-27.5
2360,-27.56,-26.73
2380,-27.34,-27.12
2400,-27.4,-26.9
2420,-26.85,-26.93
2440,-27.32,-27.07
2460,-27.16,-26.93
2480,-27.77,-27.23
2500,-27.62,-27.41
2520,-26.65,-27.02
2540,-26.79,-27.05
2560,-26.74,-27.21
2580,-26.92,-27.27
2600,-27.09,-27.1
2620,-27.49,-27.59
2640,-26.83,-28.11
2660,-26.96,-27.49
2680,-26.76,-28.34
2700,-26.75,-27.82
2720,-27.6,-27.85
2740,-27.34,-27.25
2760,-27.25,-26.47
2780,-26.84,-26.66
2800,-27.03,-27.81
2820,-27.13,-27.67
2840,-26.7,-27.49
2860,-27.33,-27.47
2880,-27.02,-27
2900,-26.88,-27.14
