Depth,Age,TN (%),TS (%),TOC (%),TIC (%),uggTOC_FAME_C15,uggTOC_FAME_C16,uggTOC_FAME_C17,uggTOC_FAME_C18,uggTOC_FAME_C19,uggTOC_FAME_C20,uggTOC_FAME_C21,uggTOC_FAME_C22,uggTOC_FAME_C23,uggTOC_FAME_C24,uggTOC_FAME_C25,uggTOC_FAME_C26,uggTOC_FAME_C27,uggTOC_FAME_C28,uggTOC_FAME_C29,uggTOC_FAME_C30,uggTOC_FAME_C31,uggTOC_FAME_C32,uggTOC_FAME_C33,uggTOC_C21,uggTOC_C22,uggTOC_C23,uggTOC_C24,uggTOC_C25,uggTOC_C26,uggTOC_C27,uggTOC_C28,uggTOC_C29,uggTOC_C30,uggTOC_C31,uggTOC_C32,uggTOC_C33,isoGDGT0,isoGDGT1,isoGDGT2,isoGDGT3,cren,cren',brGDGT_IIIa,brGDGT_IIIa',brGDGT_IIIb,brGDGT_IIIb',brGDGT_IIIc,brGDGT_IIIc',brGDGT_IIa,brGDGT_IIa',brGDGT_IIb,brGDGT_IIb',brGDGT_IIc,brGDGT_IIc',brGDGT_Ia,brGDGT_Ib,brGDGT_Ic
0.5,0,0.353696108,0.08606638,2.78,0.21082016,107,794.8,49.7,133,13.1,71.6,27,232.6,49.6,280.6,40.9,188.7,17.3,44.9,8.8,18,2.3,8.4,3.4,9.7,8.7,20.6,7.7,21.4,6.7,33.7,5.5,44,5.8,63.3,288.3,24.4,36968.6,69.8,27.6,13.2,140.5,7.7,27745.9,13764.9,538.9,164.3,145.4,16.4,7151.5,16864,1875.2,465,860.6,0,7715.7,634.2,111.9
4.5,350,0.251207471,0.069243342,1.550938116,0.148002694,66.5,665,37.4,208.2,16,125.4,28.3,239.7,63,385.4,67.1,236.9,45.7,147.6,27.9,55.5,7.6,15.8,3.4,13.6,14,31.2,13.6,31.4,11,46,9,60.2,5.7,46.6,53.9,15,24006.2,121.9,56.6,28.8,262.1,9.4,26197.4,9748.7,313.1,164.4,44.2,35.4,8169.6,7867.1,1486.3,456.9,261.8,27.8,5712.6,869.6,117.2
8.5,750,0.495597452,0.236861229,3.706110698,0.063089619,99.3,990.8,46,333.8,14,77.5,21.7,168,35.5,229.4,36.9,143.7,18.5,54.2,12.3,22.9,3.3,8.7,3.3,4.7,5,137,45.2,14.2,4.3,23.9,4.8,30.1,3.8,29.5,68.6,9.1,92501.2,207.7,46.9,31.1,432,27.8,67725.6,48261.1,1717.2,670.7,612.4,75.6,28730.8,53766.1,6523.4,2195.3,4554.3,0,22894.8,2635,570
12.5,1150,0.597689986,0.211740062,4.184677158,0.054101465,3.5,146.3,12.2,95.6,7.6,42.7,17.2,92.9,22.3,151.7,22.2,74.3,9.5,36.7,5.2,14.2,1,4.8,1,3.5,3.9,82.8,25.9,9.7,2.2,16.1,1.9,19,2.1,18.5,39.7,5.1,50272.8,248.4,51.3,0,277.8,35.6,44298.6,22375.2,656.8,227.7,150.9,0,20285.1,26144.9,3195.3,1081.7,1226.6,0,12702.1,1783.4,266.2
16.5,1590,0.788064182,0.20684512,6.101386507,0.043991855,3.9,148.2,14.9,196.4,5.5,34.8,8.2,75.3,14.9,114.3,18.3,61.4,6.9,43.4,4.5,18.1,0,4.5,0,0.8,3,70.6,15.1,8.2,1.3,16.5,0.9,11.3,0.8,6.8,13.1,0,90532.1,481.5,0,0,384.6,0,82612.8,38327.2,1161.5,531.9,0,0,40919.9,44836.1,6059.7,1139.2,1608.6,0,21964,3390.7,565
20.5,2037,0.940096021,0.173593923,6.857412672,0.057434718,2.9,113.4,10.3,86.4,3.8,25.9,6,47.3,10.5,69.4,11.8,36,4.5,17.2,2.4,6.2,0,1.9,0,1.2,1.9,49.3,13.4,3.8,1.3,6.1,0.9,7.7,1.1,7.1,4.7,0.6,46521.4,240.9,0,0,170.1,0,47747.9,20626.3,432.5,166.5,88.3,0,29363.9,20957.5,2598.5,1038.8,971,0,15086.2,1699.4,331
24.5,2483,0.538170815,0.163525715,4.168150337,0.032830422,0,140.1,13.9,124.1,10.5,70.9,20.9,124.3,25.7,184.3,29.6,100.4,12.7,57.3,8.8,23.1,2.4,7,0,4.1,4.7,159.9,49.3,19.5,5,27.3,3.8,28,3.9,21.3,5.4,5,173556.6,495.7,146.3,0,761.1,0,154187.6,87914.3,2174.1,1003.4,216.4,0,86300.7,87016.6,11852.6,3976.9,877.4,0,49904.4,8377.4,1023.2
28.5,2929,0.759621143,0.210670114,5.505357368,0.040808845,5.3,293.7,22.7,183.8,12.7,73.8,22,183,34.3,250.4,42,142.1,18.5,66.9,10,22.7,2.4,6.3,0,5.3,4.2,128.4,49.8,11.5,3,19.6,2,22.3,2.8,17.9,4.9,0,475898.5,2738.1,0,0,1951.4,0,499309.1,217479.3,4790.8,1293.9,0,0,302958.5,186245.3,31811.4,12539.8,2868,0,153283.1,24635.1,2760.8
32.5,3375,0.439491987,0.123530686,1.50180585,0.057624799,82,844,61,226.2,25.3,202.8,45.5,450.4,72.5,535.1,87,357.5,46.7,159,26,58.2,7.3,17.4,4.8,13.1,10.9,322.3,120.2,42.9,10.8,55.4,9.2,72.3,7.5,74.6,10.6,21.3,359076.1,881.9,598.1,285.9,2361.1,89.3,321922.2,140414.5,5753.3,2968.1,453.5,187.5,179396.2,171434,23743.2,8014.7,1678.8,0,105701.1,15818.9,2070.5
36.5,3821,0.693265021,0.187298581,5.648626623,0.032405032,3.4,146.2,13.2,78.3,7.9,57.9,14.2,122,23.4,164.5,24.4,128.1,12.8,32.9,5.5,12.4,1.3,3.7,1.1,2,1.4,56.9,19.9,5.5,1.7,6.9,0.9,7.4,0.9,5.9,1.2,0,268440.5,808.5,0,0,1191.3,0,288587.3,123277.5,3569.6,1623,0,0,142820.7,96047.9,16288.3,6726.2,695.3,0,79835.3,11924.2,1305.2
40.5,4219,0.685065448,0.199725017,4.331666269,0.0392355,10.9,204.9,20.8,111.3,10.3,97.6,22.5,145.3,41.7,291.4,33.6,161.8,20.6,66.9,11.5,24.9,2.7,7,1.6,3.2,2.9,99.3,35,10.7,3.1,15.7,2.7,20.1,1.9,18.5,2.9,2.5,87943,374.7,0,0,534.5,0,82988.9,44405.4,1324.9,1073.3,0,0,38039.1,38259.8,6916.3,3048.2,286.1,0,30319,4418.7,519.5
