ID,Core Depth_Top,Core Cepth_Bottom,Depth,Age,C21,C23,C25,C27,C29,C31,C33,stdev_C21,stdev_C23,stdev_C25,stdev_C27,stdev_C29,stdev_C31,stdev_C33,analytical_duplicates
Co1211_2A 1-2 F1 6-16-21,1,2,1.5,50,-30.9,-31.0,-32.4,-32.2,-32.4,-33.4,-32.5,0.0,0.2,0.1,0.1,0.1,0.0,0.3,2
Co1211_2A 9-10 F1 6-16-21,9,10,9.5,850,-31.2,-30.2,-32.2,-32.5,-32.2,-33.2,-33.4,0.1,0.1,0.1,0.2,0.1,0.1,0.1,2
Co1211_2A 21-22 F1 6-16-21,21,22,21.5,2148,-32.0,-32.7,-32.4,-31.2,-33.0,-35.6,-31.0,0.2,0.2,0.4,0.0,0.4,0.2,0.2,2
Co1211_2A 29-30 F1 6-15-21,29,30,29.5,3040,-31.7,-32.2,-32.0,-32.1,-32.4,-33.2,-31.9,0.0,0.1,0.0,0.0,0.1,0.2,0.4,2
Co1211_2A 37-38 F1 6-15-21,37,38,37.5,3933,-31.8,-32.8,-33.9,-32.4,-32.3,-32.8,-31.7,0.0,0.8,0.2,0.0,0.0,0.1,0.0,2
Co1211_2A 49-50 6-15-21,49,50,49.5,4934,-31.0,-31.2,-32.8,-32.9,-32.8,-33.9,-32.1,0.3,0.3,0.1,0.3,0.2,0.0,0.2,2
Co1211_4A 49-50 F1 6-15-21,59,60,59.5,5728,-31.8,-33.4,-34.4,-32.3,-32.1,-32.1,-32.8,0.2,0.0,0.0,0.1,0.0,0.1,0.0,2
Co1211_2A 59-60 F1 6-15-21,59,60,59.5,5728,-32.4,-33.7,-32.7,-32.0,-32.9,-33.0,,0.2,0.2,0.3,0.4,0.0,0.3,,2
Co1211_4A 53-54 F1 6-16-21,63,64,63.5,6046,-31.3,-32.1,-31.8,-31.7,-32.2,-33.0,-32.8,0.0,0.1,0.0,0.1,0.0,0.0,0.1,2
Co1211_4A 57-58 F1 6-16-21,67,68,67.5,6363,-33.2,-34.5,-31.5,-31.5,-31.6,-33.1,-32.8,0.3,0.1,0.1,0.1,0.0,0.0,0.1,2
Co1211_4A 61-62 F1 6-16-21,71,72,71.5,6681,-32.9,-35.0,-32.5,-32.4,-32.8,-33.8,-33.7,0.1,0.1,0.0,0.1,0.1,0.2,0.0,2
Co1211_4A 65-66 F1 6-15-21,75,76,75.5,6932,-30.5,-32.0,-31.2,-31.2,-31.9,-34.1,-33.3,0.1,0.0,0.0,0.1,0.0,0.0,0.2,2
Co1211_4A 69-70 F1 6-15-21,79,80,79.5,7142,-31.3,-33.1,-31.4,-31.3,-31.9,-32.5,-33.2,0.0,0.0,0.0,0.0,0.1,0.0,0.3,2
Co1211_4A 73-74 F1 6-15-21,83,84,83.5,7353,-30.5,-31.9,-30.8,-31.2,-31.8,-33.1,-32.7,0.3,0.1,0.2,0.0,0.1,0.1,0.0,2
Co1211_4A 77-78 F1 6-15-21,87,88,87.5,7563,-30.7,-32.5,-31.0,-31.2,-31.8,-32.9,-33.2,0.1,0.2,0.1,0.0,0.0,0.1,0.1,2
Co1211_4A 81-82 6-15-21,91,92,91.5,7774,-29.1,-29.8,-30.3,-31.6,-31.7,-33.1,-33.1,0.2,0.1,0.1,0.2,0.4,0.1,0.1,2
Co1211_4A 85-86 F1 6-16-21,95,96,95.5,8080,-30.9,-30.9,-31.7,-32.5,-32.4,-34.0,,0.5,0.2,0.1,0.1,0.1,0.2,,2
